City,Date,PM2.5,PM10,NO2,CO,SO2
Cao Bằng,2/6/2021,162,121,,,1
Hồ Chí Minh ,2/9/2021,102,,,,
Hà Nội,2/9/2021,,,,,
Hà Nội,2/9/2021,70,0,9.6,0.1,3.6
Gia Lai,2/9/2021,24,21,12,6,1
Thừa Thiên Huế,2/9/2021,16,12,,1,
Hà Nội,2/9/2021,46,43,25,8,1
Bắc Ninh,2/9/2021,17,9,9,3,2
Lào Cai,2/9/2021,91,45,2,44,70
Hạ Long,2/6/2021,22,13,,,
Quảng Ninh,2/9/2021,1,1,5,6,3.8
Bắc Ninh,2/9/2021,14,8,1,3,1
Bắc Ninh,2/9/2021,,,3,4,1
Hà Nội,2/9/2021,46,44,13,10,
Hà Nội,2/9/2021,32,21,9,5,
Hà Nội,2/9/2021,38,26,12,5,
Hà Nội,2/9/2021,40,29,15,4,1
Đà Nẵng,2/9/2021,,,1,5,6
Nha Trang,2/9/2021,,,1,1,4
Hà Nội,2/9/2021,43,41,8,6,
Hà Nội,2/9/2021,34,28,7,5,
Hà Nội,2/9/2021,46,44,12,7,
Hà Nội,2/9/2021,42,28,,5,
Cao Bằng,2/9/2021,30,21,,,
Hồ Chí Minh ,2/14/2021,63,,,,
Hà Nội,2/14/2021,0,0,,13,0
Hà Nội,2/14/2021,167,0,11.9,0.1,4.6
Gia Lai,2/11/2021,21,15,7,3,1
Thừa Thiên Huế,2/14/2021,59,51,,1,
Hà Nội,2/14/2021,94,67,21,7,2
Bắc Ninh,2/14/2021,86,49,7,3,2
Lào Cai,2/14/2021,112,44,1,34,20
Hạ Long,2/14/2021,36,19,,,
Quảng Ninh,2/14/2021,8,5,8,6,99.7
Bắc Ninh,2/14/2021,77,48,4,3,3
Bắc Ninh,2/14/2021,,,3,4,2
Hà Nội,2/14/2021,91,60,21,14,
Hà Nội,2/14/2021,53,29,8,4,
Hà Nội,2/14/2021,42,34,19,4,
Hà Nội,2/14/2021,93,53,27,20,2
Đà Nẵng,2/14/2021,,,1,6,6
Nha Trang,2/14/2021,,,12,6,4
Hà Nội,2/14/2021,79,57,12,8,
Hà Nội,2/14/2021,50,30,6,5,
Hà Nội,2/14/2021,94,63,16,6,
Hà Nội,2/14/2021,48,37,,5,
Cao Bằng,2/14/2021,139,124,,,
Hồ Chí Minh ,2/15/2021,74,,,,
Hà Nội,2/15/2021,,,,,
Hà Nội,2/15/2021,144,,14.2,0.1,4.6
Gia Lai,2/11/2021,21,15,7,3,1
Thừa Thiên Huế,2/15/2021,28,42,,1,
Hà Nội,2/15/2021,105,73,26,7,2
Bắc Ninh,2/15/2021,47,28,4,2,2
Lào Cai,2/15/2021,148,52,3,41,59
Hạ Long,2/15/2021,23,12,,,
Quảng Ninh,2/15/2021,6,4,3,5,9
Bắc Ninh,2/15/2021,57,34,2,2,3
Bắc Ninh,2/15/2021,,,1,4,1
Hà Nội,2/15/2021,131,93,30,27,
Hà Nội,2/15/2021,87,54,8,4,
Hà Nội,2/15/2021,98,64,26,4,
Hà Nội,2/15/2021,96,60,29,5,1
Đà Nẵng,2/15/2021,,,1,2,6
Nha Trang,2/15/2021,,,1,2,4
Hà Nội,2/15/2021,111,76,17,13,
Hà Nội,2/15/2021,94,54,10,5,
Hà Nội,2/15/2021,121,85,22,16,
Hà Nội,2/15/2021,101,57,,6,
Cao Bằng,2/15/2021,85,67,,,
Hồ Chí Minh ,2/16/2021,97,,,,
Hà Nội,2/16/2021,,,,,
Hà Nội,2/16/2021,153,,12.4,0.1,4.6
Gia Lai,2/16/2021,35,24,5,2,1
Thừa Thiên Huế,2/16/2021,39,53,,1,
Hà Nội,2/16/2021,56,53,20,5,1
Bắc Ninh,2/16/2021,63,38,6,2,3
Lào Cai,2/16/2021,119,32,3,39,76
Hạ Long,2/16/2021,26,14,,,
Quảng Ninh,2/16/2021,5,4,3,4,14
Bắc Ninh,2/16/2021,75,49,7,3,5
Bắc Ninh,2/16/2021,,,2,3,1
Hà Nội,2/16/2021,113,79,21,33,
Hà Nội,2/16/2021,88,59,9,3,
Hà Nội,2/16/2021,74,50,17,5,
Hà Nội,2/16/2021,97,56,33,3,1
Đà Nẵng,2/16/2021,,,1,2,6
Nha Trang,2/16/2021,,,1,1,4
Hà Nội,2/16/2021,109,75,21,12,
Hà Nội,2/16/2021,98,63,6,5,
Hà Nội,2/16/2021,111,69,25,2,
Hà Nội,2/16/2021,91,53,,5,
Cao Bằng,2/16/2021,70,58,,,
