City,Date,PM2.5,PM10,NO2,CO,SO2
Hà Nội,8/3/2021,93,52,15,4,
Hà Nội,8/3/2021,66,45,,4,
Cao Bằng,8/3/2021,8,3,1,,1
Hồ Chí Minh ,8/9/2021,30,,,,
Hà Nội,8/2/2021,42,,,,
Hà Nội,8/9/2021,149,,6,0.1,6.1
Gia Lai,8/9/2021,16,13,3,2,16
Thừa Thiên Huế,8/9/2021,,,,6,
Hà Nội,8/9/2021,79,70,,4,3
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,8/9/2021,2,1,1,43,53
Hạ Long,8/9/2021,,,18,,
Quảng Ninh,8/9/2021,25,24,12,1,1
Bắc Ninh,8/9/2021,73,54,6,2,12
Bắc Ninh,8/9/2021,125,100,14,9,5
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,8/9/2021,84,57,9,3,
Hà Nội,8/9/2021,84,56,20,6,
Hà Nội,8/9/2021,117,75,7,4,
Đà Nẵng,8/9/2021,37,31,11,1,38
Nha Trang,8/9/2021,,,3,2,5
Hà Nội,8/9/2021,128,82,12,9,
Hà Nội,8/9/2021,104,60,12,6,
Hà Nội,8/9/2021,121,83,16,9,
Hà Nội,8/9/2021,105,61,,6,
Cao Bằng,8/8/2021,69,76,1,,1
Hồ Chí Minh ,8/10/2021,65,,,,
Hà Nội,8/2/2021,42,,,,
Hà Nội,8/10/2021,65,,6.9,0.1,4.6
Gia Lai,8/9/2021,16,13,3,2,16
Thừa Thiên Huế,8/10/2021,,,,2,
Hà Nội,8/10/2021,30,27,,3,3
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,8/10/2021,2,1,1,38,53
Hạ Long,8/10/2021,,,17,,
Quảng Ninh,8/10/2021,9,8,13,1,2
Bắc Ninh,8/10/2021,29,24,19,1,16
Bắc Ninh,8/10/2021,30,27,11,8,4
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,8/10/2021,18,12,8,1,
Hà Nội,8/10/2021,13,10,20,4,
Hà Nội,8/10/2021,24,21,8,3,
Đà Nẵng,8/10/2021,27,27,11,1,31
Nha Trang,8/10/2021,,,1,1,5
Hà Nội,8/10/2021,38,41,9,4,
Hà Nội,8/10/2021,23,15,8,3,
Hà Nội,8/10/2021,33,37,10,8,
Hà Nội,8/10/2021,19,13,,4,
Cao Bằng,8/8/2021,69,76,1,,1
Hồ Chí Minh ,8/11/2021,53,,,,
Hà Nội,8/11/2021,50,,,,
Hà Nội,8/11/2021,53,,9.2,0.2,4.6
Gia Lai,8/11/2021,16,12,4,3,16
Thừa Thiên Huế,8/11/2021,,,,10,
Hà Nội,8/11/2021,18,26,,4,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,8/11/2021,2,1,1,38,53
Hạ Long,8/11/2021,,,17,,
Quảng Ninh,8/11/2021,13,14,11,1,1
Bắc Ninh,8/11/2021,32,34,18,1,6
Bắc Ninh,8/11/2021,53,37,6,7,4
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,8/11/2021,28,23,10,1,
Hà Nội,8/11/2021,29,21,21,3,
Hà Nội,8/11/2021,31,22,8,2,
Đà Nẵng,8/11/2021,32,29,11,3,30
Nha Trang,8/11/2021,,,1,2,6
Hà Nội,8/11/2021,50,52,8,3,
Hà Nội,8/11/2021,1,1,5,3,
Hà Nội,8/11/2021,56,32,21,3,
Hà Nội,8/11/2021,42,27,,3,
Cao Bằng,8/8/2021,69,76,1,,1
Hồ Chí Minh ,8/12/2021,50,,,,
Hà Nội,8/12/2021,58,,,,
Hà Nội,8/12/2021,61,,16.5,0.2,5.1
Gia Lai,8/12/2021,5,5,5,3,16
Thừa Thiên Huế,8/12/2021,,,,8,
Hà Nội,8/12/2021,29,21,,3,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,8/12/2021,2,1,3,37,53
Hạ Long,8/12/2021,,,21,,
Quảng Ninh,8/12/2021,10,11,10,1,1
Bắc Ninh,8/12/2021,22,25,8,2,6
Bắc Ninh,8/12/2021,36,31,13,9,4
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,8/12/2021,38,25,11,4,
Hà Nội,8/12/2021,30,21,16,3,
Hà Nội,8/12/2021,20,11,4,2,
Đà Nẵng,8/12/2021,37,29,10,2,32
Nha Trang,8/12/2021,,,1,2,6
Hà Nội,8/12/2021,71,82,6,3,
Hà Nội,8/11/2021,1,1,5,3,
Hà Nội,8/12/2021,75,45,20,7,
Hà Nội,8/12/2021,42,27,,3,
Cao Bằng,8/8/2021,69,76,1,,1
Hồ Chí Minh ,8/14/2021,34,,,,
Hà Nội,8/14/2021,71,,,,
Hà Nội,8/14/2021,80,,4.6,0.1,4.6
Gia Lai,8/14/2021,8,9,5,3,16
Thừa Thiên Huế,8/14/2021,,,,4,
Hà Nội,8/14/2021,49,51,,5,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,8/14/2021,2,1,2,41,53
Hạ Long,8/14/2021,,,8,,
Quảng Ninh,8/14/2021,14,14,8,1,1
Bắc Ninh,8/14/2021,47,54,10,1,13
Bắc Ninh,8/14/2021,27,26,6,6,4
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,8/13/2021,16,11,7,2,
Hà Nội,8/14/2021,24,20,19,4,
Hà Nội,8/14/2021,58,46,7,3,
Đà Nẵng,8/14/2021,15,14,11,1,30
Nha Trang,8/14/2021,,,1,1,6
Hà Nội,8/13/2021,40,35,8,6,
Hà Nội,8/11/2021,1,1,5,3,
Hà Nội,8/13/2021,44,45,10,7,
Hà Nội,8/14/2021,38,27,,5,
Cao Bằng,8/14/2021,85,89,,,1
Hồ Chí Minh ,8/16/2021,107,,,,
Hà Nội,8/16/2021,55,,,,
Hà Nội,8/16/2021,107,,5.5,0.2,4.6
Gia Lai,8/16/2021,11,11,3,2,15
Thừa Thiên Huế,8/16/2021,,,,6,
Hà Nội,8/15/2021,69,1,,3,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,8/16/2021,2,1,1,62,52
Hạ Long,8/16/2021,,,14,,
Quảng Ninh,8/15/2021,11,12,4,1,1
Bắc Ninh,8/16/2021,41,58,10,1,13
Bắc Ninh,8/14/2021,27,26,6,6,4
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,8/16/2021,56,51,9,2,
Hà Nội,8/16/2021,25,21,18,5,
Hà Nội,8/16/2021,39,36,5,2,
Đà Nẵng,8/16/2021,27,18,11,1,32
Nha Trang,8/16/2021,,,1,1,6
Hà Nội,8/16/2021,70,69,9,4,
Hà Nội,8/16/2021,51,33,7,7,
Hà Nội,8/16/2021,80,61,26,18,
Hà Nội,8/16/2021,41,29,,4,
Cao Bằng,8/16/2021,59,91,,,1
Hồ Chí Minh ,8/17/2021,91,,,,
Hà Nội,8/17/2021,63,,,,
Hà Nội,8/17/2021,95,,6,0.1,5.1
Gia Lai,8/17/2021,19,14,4,4,16
Thừa Thiên Huế,8/17/2021,,,,6,
Hà Nội,8/15/2021,69,1,,3,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,8/17/2021,,1,1,40,52
Hạ Long,8/17/2021,,,11,,
Quảng Ninh,8/15/2021,11,12,4,1,1
Bắc Ninh,8/17/2021,16,22,6,1,11
Bắc Ninh,8/17/2021,31,28,7,7,4
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,8/16/2021,16,10,9,1,
Hà Nội,8/16/2021,15,12,21,5,
Hà Nội,8/17/2021,23,19,6,2,
Đà Nẵng,8/17/2021,23,16,11,1,34
Nha Trang,8/17/2021,,,1,1,6
Hà Nội,8/16/2021,52,37,10,5,
Hà Nội,8/16/2021,27,18,12,7,
Hà Nội,8/16/2021,46,60,10,10,
Hà Nội,8/16/2021,19,13,,5,
Cao Bằng,8/17/2021,46,70,1,,1
Hồ Chí Minh ,8/18/2021,68,,,,
Hà Nội,8/17/2021,52,,,,
Hà Nội,8/18/2021,80,,7.8,0.1,5.6
Gia Lai,8/18/2021,32,24,5,4,16
Thừa Thiên Huế,8/18/2021,,,,7,
Hà Nội,8/15/2021,69,1,,3,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,8/18/2021,,1,1,38,54
Hạ Long,8/18/2021,,,11,,
Quảng Ninh,8/18/2021,12,16,6,1,1
Bắc Ninh,8/18/2021,25,27,4,2,9
Bắc Ninh,8/18/2021,31,28,5,7,4
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,8/17/2021,11,8,10,3,
Hà Nội,8/17/2021,10,9,18,5,
Hà Nội,8/18/2021,27,19,7,2,
Đà Nẵng,8/18/2021,26,16,11,1,32
Nha Trang,8/18/2021,,,1,1,6
Hà Nội,8/17/2021,38,39,11,5,
Hà Nội,8/17/2021,10,8,10,5,
Hà Nội,8/17/2021,37,33,12,23,
Hà Nội,8/17/2021,11,9,,5,
Cao Bằng,8/18/2021,41,70,1,,1
Hồ Chí Minh ,8/19/2021,76,,,,
Hà Nội,8/17/2021,52,,,,
Hà Nội,8/19/2021,55,,6.4,0.1,5.1
Gia Lai,8/19/2021,14,12,3,2,15
Thừa Thiên Huế,8/19/2021,,,,1,
Hà Nội,8/15/2021,69,1,,3,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,8/19/2021,,1,1,39,53
Hạ Long,8/19/2021,,,7,,
Quảng Ninh,8/19/2021,12,13,4,1,12
Bắc Ninh,8/19/2021,29,27,3,1,13
Bắc Ninh,8/19/2021,31,28,2,6,4
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,8/19/2021,19,13,6,2,
Hà Nội,8/19/2021,10,9,24,4,
Hà Nội,8/19/2021,20,29,9,2,
Đà Nẵng,8/19/2021,30,19,11,1,34
Nha Trang,8/19/2021,,,1,1,5
Hà Nội,8/19/2021,40,36,12,4,
Hà Nội,8/19/2021,10,8,8,4,
Hà Nội,8/19/2021,32,52,30,21,
Hà Nội,8/19/2021,13,11,,4,
Cao Bằng,8/19/2021,45,88,1,,1
Hồ Chí Minh ,8/21/2021,78,,,,
Hà Nội,8/17/2021,52,,,,
Hà Nội,8/21/2021,72,,5.5,0.1,4.6
Gia Lai,8/21/2021,17,13,3,2,16
Thừa Thiên Huế,8/21/2021,,,,7,
Hà Nội,8/15/2021,69,1,,3,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,8/21/2021,,1,1,40,53
Hạ Long,8/21/2021,,,7,,
Quảng Ninh,8/21/2021,13,15,4,1,16
Bắc Ninh,8/21/2021,31,40,7,1,12
Bắc Ninh,8/20/2021,29,4,5,7,3.6
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,8/21/2021,42,31,10,1,
Hà Nội,8/21/2021,26,20,19,4,
Hà Nội,8/21/2021,50,45,10,2,
Đà Nẵng,8/21/2021,32,20,11,1,31
Nha Trang,8/20/2021,,,1,1,6
Hà Nội,8/21/2021,58,58,13,3,
Hà Nội,8/21/2021,40,27,13,3,
Hà Nội,8/21/2021,62,50,26,17,
Hà Nội,8/21/2021,35,25,,5,
Cao Bằng,8/19/2021,64,103,1,,1
Hồ Chí Minh ,8/23/2021,70,,,,
Hà Nội,8/17/2021,52,,,,
Hà Nội,8/23/2021,63,,2.8,0.1,4.6
Gia Lai,8/23/2021,8,10,5,3,16
Thừa Thiên Huế,8/23/2021,,,,6,
Hà Nội,8/15/2021,69,1,,3,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,8/23/2021,2,1,3,39,3.2
Hạ Long,8/23/2021,,,8,,
Quảng Ninh,8/23/2021,15,14,4,1,18
Bắc Ninh,8/23/2021,48,53,8,1,12
Bắc Ninh,8/23/2021,,,3,7,5
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,8/23/2021,21,14,9,1,
Hà Nội,8/23/2021,22,19,14,3,
Hà Nội,8/23/2021,50,44,10,3,
Đà Nẵng,8/23/2021,29,20,11,1,31
Nha Trang,8/23/2021,,,1,1,6
Hà Nội,8/23/2021,45,52,7,3,
Hà Nội,8/23/2021,38,27,10,3,
Hà Nội,8/23/2021,59,58,18,7,
Hà Nội,8/23/2021,33,25,,5,
Cao Bằng,8/19/2021,64,103,1,,1
Hồ Chí Minh ,8/26/2021,65,,,,
Hà Nội,8/17/2021,52,,,,
Hà Nội,8/26/2021,42,,6.4,0.1,5.1
Gia Lai,8/26/2021,10,8,3,2,16
Thừa Thiên Huế,8/26/2021,,,,7,
Hà Nội,8/15/2021,69,1,,3,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,8/26/2021,23,1,1,53,1.6
Hạ Long,8/26/2021,,,12,,
Quảng Ninh,8/26/2021,7,8,8,1,19
Bắc Ninh,8/26/2021,19,18,9,1,12
Bắc Ninh,8/26/2021,,,5,7,4
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,8/25/2021,19,14,14,2,
Hà Nội,8/25/2021,16,13,20,3,
Hà Nội,8/26/2021,35,29,7,1,
Đà Nẵng,8/26/2021,25,16,11,1,35
Nha Trang,8/26/2021,,,1,1,6
Hà Nội,8/25/2021,40,41,8,3,
Hà Nội,8/25/2021,22,17,9,3,
Hà Nội,8/25/2021,43,36,28,16,
Hà Nội,8/25/2021,24,17,,3,
Cao Bằng,8/19/2021,64,103,1,,1
Hồ Chí Minh ,8/27/2021,50,,,,
Hà Nội,8/17/2021,52,,,,
Hà Nội,8/27/2021,63,,10.1,0.1,5.6
Gia Lai,8/27/2021,14,13,3,2,16
Thừa Thiên Huế,8/27/2021,,,,5,
Hà Nội,8/15/2021,69,1,,3,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,8/26/2021,23,1,1,43,1.7
Hạ Long,8/27/2021,,,10,,
Quảng Ninh,8/27/2021,13,16,8,1,19
Bắc Ninh,8/27/2021,38,32,7,1,11
Bắc Ninh,8/27/2021,,,5,7,4
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,8/25/2021,19,14,14,2,
Hà Nội,8/25/2021,16,13,20,3,
Hà Nội,8/26/2021,35,29,7,1,
Đà Nẵng,8/27/2021,32,18,11,1,36
Nha Trang,8/27/2021,,,1,1,6
Hà Nội,8/25/2021,40,41,8,3,
Hà Nội,8/25/2021,22,17,9,3,
Hà Nội,8/25/2021,43,36,28,16,
Hà Nội,8/25/2021,24,17,,3,
Cao Bằng,8/19/2021,64,103,1,,1
Hồ Chí Minh ,8/28/2021,57,,,,
Hà Nội,8/17/2021,52,,,,
Hà Nội,8/28/2021,46,,8.3,0.1,5.1
Gia Lai,8/28/2021,9,8,2,1,16
Thừa Thiên Huế,8/28/2021,,,,6,
Hà Nội,8/15/2021,69,1,,3,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,8/28/2021,18,1,1,38,1.7
Hạ Long,8/28/2021,,,10,,
Quảng Ninh,8/28/2021,11,13,9,1,21
Bắc Ninh,8/28/2021,21,17,4,1,11
Bắc Ninh,8/28/2021,,,7,7,4
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,8/25/2021,19,14,14,2,
Hà Nội,8/25/2021,16,13,20,3,
Hà Nội,8/26/2021,35,29,7,1,
Đà Nẵng,8/28/2021,18,11,11,1,35
Nha Trang,8/28/2021,,,1,1,6
Hà Nội,8/25/2021,40,41,8,3,
Hà Nội,8/25/2021,22,17,9,3,
Hà Nội,8/25/2021,43,36,28,16,
Hà Nội,8/25/2021,24,17,,3,
Cao Bằng,8/19/2021,64,103,1,,1
Hồ Chí Minh ,8/31/2021,68,,,,
Hà Nội,8/17/2021,52,,,,
Hà Nội,8/31/2021,124,,9.2,0.1,5.1
Gia Lai,8/31/2021,26,18,4,2,16
Thừa Thiên Huế,8/31/2021,,,,10,
Hà Nội,8/15/2021,69,1,,3,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,8/31/2021,2,1,3,45,1.9
Hạ Long,8/31/2021,,,10,,
Quảng Ninh,8/31/2021,21,25,11,2,24
Bắc Ninh,8/31/2021,79,53,8,2,12
Bắc Ninh,8/31/2021,,,11,7,4
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,8/30/2021,30,20,10,1,
Hà Nội,8/30/2021,24,18,19,4,
Hà Nội,8/31/2021,32,29,12,2,
Đà Nẵng,8/31/2021,29,20,11,1,34
Nha Trang,8/31/2021,,,1,1,6
Hà Nội,8/30/2021,40,53,9,4,
Hà Nội,8/30/2021,34,21,7,3,
Hà Nội,8/30/2021,53,60,24,15,
Hà Nội,8/30/2021,35,23,,5,
Cao Bằng,8/19/2021,64,103,1,,1
Hồ Chí Minh ,9/1/2021,25,,,,
Hà Nội,8/17/2021,52,,,,
Hà Nội,9/1/2021,127,,6.9,0.1,5.1
Gia Lai,9/1/2021,18,16,4,2,17
Thừa Thiên Huế,9/1/2021,,,,8,
Hà Nội,8/15/2021,69,1,,3,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,9/1/2021,2,1,2,41,1.9
Hạ Long,9/1/2021,,,14,,
Quảng Ninh,9/1/2021,15,18,9,1,23
Bắc Ninh,9/1/2021,80,52,5,2,12
Bắc Ninh,9/1/2021,,,8,7,4
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,9/1/2021,59,47,13,1,
Hà Nội,9/1/2021,33,26,22,4,
Hà Nội,9/1/2021,35,37,10,2,
Đà Nẵng,9/1/2021,35,24,10,1,35
Nha Trang,9/1/2021,,,1,1,6
Hà Nội,9/1/2021,83,63,13,6,
Hà Nội,9/1/2021,49,33,15,3,
Hà Nội,9/1/2021,92,67,21,24,
Hà Nội,9/1/2021,58,41,,4,
Cao Bằng,8/19/2021,64,103,1,,1
Hồ Chí Minh ,9/4/2021,42,,,,
Hà Nội,8/17/2021,52,,,,
Hà Nội,9/4/2021,76,,3.2,0.1,4.6
Gia Lai,9/4/2021,4,4,2,1,15
Thừa Thiên Huế,9/4/2021,,,,2,
Hà Nội,8/15/2021,69,1,,3,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,9/4/2021,2,1,3,38,1
Hạ Long,9/4/2021,,,6,,
Quảng Ninh,9/4/2021,9,9,4,1,23
Bắc Ninh,9/4/2021,35,34,5,1,3
Bắc Ninh,9/4/2021,,,1,5,4
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,9/4/2021,23,13,3,1,
Hà Nội,9/4/2021,22,16,24,3,
Hà Nội,9/4/2021,42,23,10,2,
Đà Nẵng,9/4/2021,16,14,11,1,36
Nha Trang,9/4/2021,,,1,1,6
Hà Nội,9/4/2021,63,51,14,4,
Hà Nội,9/4/2021,22,15,5,5,
Hà Nội,9/4/2021,62,53,11,8,
Hà Nội,9/4/2021,30,20,,4,
Cao Bằng,8/19/2021,64,103,1,,1
Hồ Chí Minh ,9/6/2021,34,,,,
Hà Nội,8/17/2021,52,,,,
Hà Nội,9/6/2021,82,,7.4,0.1,5.1
Gia Lai,9/6/2021,8,9,2,1,16
Thừa Thiên Huế,9/6/2021,,,,8,
Hà Nội,8/15/2021,69,1,,3,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,9/6/2021,2,1,1,38,0.3
Hạ Long,9/6/2021,,,13,,
Quảng Ninh,9/6/2021,17,22,12,2,24
Bắc Ninh,9/6/2021,110,63,5,4,3
Bắc Ninh,9/6/2021,,,7,7,4
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,9/6/2021,40,29,7,1,
Hà Nội,9/6/2021,28,22,19,3,
Hà Nội,9/6/2021,48,34,8,2,
Đà Nẵng,9/6/2021,18,11,10,2,35
Nha Trang,9/6/2021,,,1,1,6
Hà Nội,9/6/2021,45,51,11,4,
Hà Nội,9/6/2021,49,31,9,3,
Hà Nội,9/6/2021,63,64,19,14,
Hà Nội,9/6/2021,37,28,,3,
Cao Bằng,8/19/2021,64,103,1,,1
Hồ Chí Minh ,9/8/2021,21,,,,
Hà Nội,8/17/2021,52,,,,
Hà Nội,9/8/2021,95,,7.4,0.1,5.6
Gia Lai,9/8/2021,13,14,6,3,17
Thừa Thiên Huế,9/8/2021,,,,4,
Hà Nội,8/15/2021,69,1,,3,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,9/8/2021,2,1,1,47,0.1
Hạ Long,9/8/2021,,,11,,
Quảng Ninh,9/8/2021,10,12,5,1,20
Bắc Ninh,9/8/2021,45,37,3,2,4
Bắc Ninh,9/8/2021,,,6,5,4
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,9/8/2021,42,27,18,1,
Hà Nội,9/8/2021,39,28,25,5,
Hà Nội,9/8/2021,44,43,15,2,
Đà Nẵng,9/8/2021,21,14,11,2,36
Nha Trang,9/8/2021,,,1,1,6
Hà Nội,9/8/2021,64,62,9,7,
Hà Nội,9/8/2021,65,42,10,3,
Hà Nội,9/8/2021,63,52,31,18,
Hà Nội,9/8/2021,46,31,,5,
Cao Bằng,8/19/2021,64,103,1,,1
Hồ Chí Minh ,9/10/2021,38,,,,
Hà Nội,8/17/2021,52,,,,
Hà Nội,9/10/2021,65,,6.4,0.1,5.1
Gia Lai,9/10/2021,4,6,4,2,16
Thừa Thiên Huế,9/10/2021,,,,9,
Hà Nội,8/15/2021,69,1,,3,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,9/10/2021,184,152,4,40,0.7
Hạ Long,9/10/2021,,,12,,
Quảng Ninh,9/10/2021,8,10,2,2,23
Bắc Ninh,9/10/2021,38,32,3,1,13
Bắc Ninh,9/10/2021,,,2,4,4
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,9/10/2021,22,16,4,1,
Hà Nội,9/10/2021,16,13,17,3,
Hà Nội,9/10/2021,55,37,5,2,
Đà Nẵng,9/10/2021,23,15,11,2,34
Nha Trang,9/10/2021,,,1,2,6
Hà Nội,9/10/2021,57,41,10,5,
Hà Nội,9/9/2021,1,1,10,13,
Hà Nội,9/10/2021,60,54,17,7,
Hà Nội,9/10/2021,23,16,,3,
Cao Bằng,8/19/2021,64,103,1,,1
Hồ Chí Minh ,9/17/2021,50,,,,
Hà Nội,8/17/2021,52,,,,
Hà Nội,9/17/2021,55,,10.1,0.1,5.1
Gia Lai,9/17/2021,16,13,4,1,15
Thừa Thiên Huế,9/17/2021,,,,2,
Hà Nội,8/15/2021,69,1,,3,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,9/17/2021,10,1,1,44,53
Hạ Long,9/17/2021,,,12,,
Quảng Ninh,9/17/2021,13,17,4,1,23
Bắc Ninh,9/17/2021,18,23,9,3,15
Bắc Ninh,9/17/2021,,,1,5,4
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,9/17/2021,28,22,8,1,
Hà Nội,9/17/2021,25,19,25,5,
Hà Nội,9/17/2021,38,25,12,2,
Đà Nẵng,9/17/2021,33,24,11,1,35
Nha Trang,9/17/2021,,,1,1,6
Hà Nội,9/17/2021,51,45,8,4,
Hà Nội,9/17/2021,50,31,9,6,
Hà Nội,9/17/2021,52,53,19,9,
Hà Nội,9/17/2021,27,19,,4,
Cao Bằng,9/17/2021,52,109,,,1
Hồ Chí Minh ,9/21/2021,25,,,,
Hà Nội,8/17/2021,52,,,,
Hà Nội,9/21/2021,160,,8.3,0.1,6.6
Gia Lai,9/21/2021,10,9,5,3,16
Thừa Thiên Huế,9/21/2021,,,,4,
Hà Nội,8/15/2021,69,1,,3,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,9/21/2021,10,1,1,55,53
Hạ Long,9/21/2021,,,10,,
Quảng Ninh,9/17/2021,13,17,4,1,23
Bắc Ninh,9/21/2021,38,37,5,1,13
Bắc Ninh,9/21/2021,,,8,6,4
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,9/21/2021,69,51,8,1,
Hà Nội,9/21/2021,86,56,16,5,
Hà Nội,9/21/2021,107,59,11,4,
Đà Nẵng,9/21/2021,18,12,11,1,33
Nha Trang,9/21/2021,,,1,2,6
Hà Nội,9/21/2021,119,84,16,7,
Hà Nội,9/21/2021,28,66,15,6,
Hà Nội,9/21/2021,100,70,31,33,
Hà Nội,9/21/2021,105,58,,6,
Cao Bằng,9/21/2021,86,127,,,2
Hồ Chí Minh ,9/23/2021,50,,,,
Hà Nội,8/17/2021,52,,,,
Hà Nội,9/23/2021,59,,7.4,0.1,5.1
Gia Lai,9/23/2021,7,6,5,3,18
Thừa Thiên Huế,9/23/2021,,,,6,
Hà Nội,8/15/2021,69,1,,3,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,9/23/2021,2,1,2,45,54
Hạ Long,9/23/2021,,,11,,
Quảng Ninh,9/23/2021,14,21,8,1,37
Bắc Ninh,9/23/2021,35,30,4,1,7
Bắc Ninh,9/23/2021,,,4,5,5
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,9/23/2021,30,21,4,1,
Hà Nội,9/23/2021,19,13,19,3,
Hà Nội,9/23/2021,44,36,8,2,
Đà Nẵng,9/23/2021,10,6,10,1,34
Nha Trang,9/23/2021,,,1,3,7
Hà Nội,9/23/2021,89,53,12,8,
Hà Nội,9/23/2021,22,15,8,3,
Hà Nội,9/23/2021,91,71,15,4,
Hà Nội,9/23/2021,29,19,,4,
Cao Bằng,9/23/2021,57,113,,,1
Hồ Chí Minh ,9/30/2021,53,,,,
Hà Nội,8/17/2021,52,,,,
Hà Nội,9/30/2021,93,,9.2,0.1,5.6
Gia Lai,9/30/2021,14,12,3,2,15
Thừa Thiên Huế,9/29/2021,,,,4,
Hà Nội,9/30/2021,,,,6,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,9/30/2021,,1,2,46,55
Hạ Long,9/30/2021,,,9,,
Quảng Ninh,9/30/2021,25,26,3,1,17
Bắc Ninh,9/30/2021,63,52,2,1,8
Bắc Ninh,9/30/2021,,,2,5,4
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,9/30/2021,65,47,7,2,
Hà Nội,9/30/2021,78,52,29,8,
Hà Nội,9/30/2021,89,63,11,6,
Đà Nẵng,9/30/2021,44,32,10,1,39
Nha Trang,9/30/2021,,,1,1,6
Hà Nội,9/30/2021,114,65,17,12,
Hà Nội,9/30/2021,60,40,16,7,
Hà Nội,9/30/2021,101,75,28,27,
Hà Nội,9/30/2021,108,60,,9,
Cao Bằng,9/30/2021,83,86,1,,1
Hồ Chí Minh ,10/8/2021,156,,,,
Hà Nội,8/17/2021,52,,,,
Hà Nội,10/8/2021,114,,6,0.1,5.6
Gia Lai,10/8/2021,7,5,5,3,17
Thừa Thiên Huế,10/7/2021,,,,5,
Hà Nội,10/7/2021,,,,10,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,10/8/2021,2,1,2,55,59
Hạ Long,10/8/2021,,,11,,
Quảng Ninh,10/8/2021,,,2,,13
Bắc Ninh,10/8/2021,88,58,6,3,10
Bắc Ninh,10/8/2021,,,4,3,7
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,10/8/2021,111,65,19,1,
Hà Nội,10/8/2021,94,57,26,5,
Hà Nội,10/8/2021,140,81,13,5,
Đà Nẵng,10/8/2021,37,20,11,3,38
Nha Trang,10/8/2021,,,1,4,7
Hà Nội,10/8/2021,146,90,16,9,
Hà Nội,10/8/2021,133,69,20,6,
Hà Nội,10/8/2021,152,101,29,31,
Hà Nội,10/8/2021,132,69,,9,
Cao Bằng,10/8/2021,139,101,,,1
Hồ Chí Minh ,10/8/2021,17,,,,
Hà Nội,8/17/2021,52,,,,
Hà Nội,10/11/2021,46,,7.8,0.1,5.1
Gia Lai,10/11/2021,17,18,7,5,16
Thừa Thiên Huế,10/11/2021,,,,5,
Hà Nội,10/7/2021,,,,10,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,10/11/2021,2,1,,42,53
Hạ Long,10/11/2021,,,10,,
Quảng Ninh,10/11/2021,,,5,,10
