Station ID	Date time	PM2.5	PM10	NO2	CO	SO2
1585	22/2/2021 5:00 PM			1	2	4
13017	22/2/2021 4:00 PM	138	73	9	6	
13020	22/2/2021 4:00 PM	90	53	5	4	
13013	22/2/2021 4:00 PM	133	69	24	7	
13014	22/2/2021 4:00 PM	99	59		6	
13252	22/2/2021 5:00 PM	119	89			
8767	23/2/2021 3:00 PM	155				
8688	23/2/2021 3:00 PM					
8641	23/2/2021 3:00 PM	124		4.6	0.2	3.6
13012	19/2/2021 6:00 PM	31	25	1	1	2
12488	23/2/2021 10:00 AM	40	24		2	
13251	23/2/2021 2:00 PM	113	66	32	5	1
12976	23/2/2021 3:00 PM	59	51	13	2	4
13250	23/2/2021 3:00 PM	40	13	6	29	78
5507	23/2/2021 2:00 PM	16	12			
11778	23/2/2021 2:00 PM	5	3	32	5	24.8
12958	23/2/2021 3:00 PM	61	42	3	1	3
12957	23/2/2021 3:00 PM	60	39	1	4	1
13015	23/2/2021 2:00 PM	116	78	42	32	
13018	23/2/2021 2:00 PM	82	45	39	4	
13019	23/2/2021 2:00 PM	83	54	21	4	
13026	23/2/2021 2:00 PM	59	1	17	4	1
1584	23/2/2021 3:00 PM			1	6	6
1585	23/2/2021 3:00 PM			1	1	4
13017	23/2/2021 2:00 PM	118	83	13	15	
13020	23/2/2021 2:00 PM	82	51	12	4	
13013	23/2/2021 2:00 PM	117	78	11	9	
13014	23/2/2021 2:00 PM	87	57		5	
13252	23/2/2021 3:00 PM	98	86			
8767	24/2/2021 1:00 PM	87				
8688	24/2/2021 2:00 PM					
8641	24/2/2021 1:00 PM	119		1	0.1	3.6
13012	24/2/2021 2:00 PM	52	38	12	4	2
12488	24/2/2021 2:00 PM	26	50		3	
13251	24/2/2021 1:00 PM	100	71	30	10	1
12976	24/2/2021 1:00 PM	50	47	11	2	4
13250	24/2/2021 2:00 PM	81	30	6	30	23
5507	24/2/2021 1:00 PM	16	9			
11778	24/2/2021 12:00 PM	2	2	3	4	25
12958	24/2/2021 1:00 PM	57	42	4	1	4
12957	24/2/2021 2:00 PM	50	35	1	4	1
13015	24/2/2021 1:00 PM	92	52	37	30	
13018	24/2/2021 1:00 PM	82	47	39	3	
13019	24/2/2021 1:00 PM	75	52	21	4	
13026	23/2/2021 6:00 PM	95	1	27	9	1
1584	24/2/2021 1:00 PM			1	2	7
1585	24/2/2021 1:00 PM			1	1	4
13017	24/2/2021 1:00 PM	102	60	10	6	
13020	24/2/2021 1:00 PM	86	52	9	4	
13013	24/2/2021 1:00 PM	113	63	23	4	
13014	24/2/2021 1:00 PM	94	55		5	
13252	24/2/2021 2:00 PM	113	122			
8767	27/2/2021 3:00 PM	104				
8688	27/2/2021 3:00 PM					
8641	27/2/2021 3:00 PM	93		1.4	0.2	3.6
13012	27/2/2021 3:00 PM	97	57	21	6	2
12488	27/2/2021 4:00 PM	48	59		2	
13251	26/2/2021 3:00 PM	1	1	50	12	1
12976	27/2/2021 3:00 PM	44	27	14	3	3
13250	27/2/2021 11:00 AM	31	7		43	100
5507	27/2/2021 3:00 PM	26	14			
11778	27/2/2021 2:00 PM	3	2	12	6	4
12958	27/2/2021 3:00 PM	70	52	4	3	4
12957	27/2/2021 3:00 PM	60	40	5	4	2
13015	27/2/2021 2:00 PM	79	48	29	12	
13018	27/2/2021 2:00 PM	88	51	40	5	
13019	27/2/2021 2:00 PM	65	47	20	7	
13026	25/2/2021 8:00 PM	1	54	59	2	1
1584	27/2/2021 3:00 PM			1	4	6
1585	27/2/2021 3:00 PM			1	1	4
13017	27/2/2021 3:00 PM	97	62	9	10	
13020	27/2/2021 2:00 PM	74	49	10	6	
13013	27/2/2021 3:00 PM	112	59	16	5	
13014	27/2/2021 2:00 PM	72	48		6	
13252	27/2/2021 4:00 PM	90	198			
8767	2/3/2021 14:00	61				
8688	2/3/2021 14:00					
8641	2/3/2021 14:00	59		7.4	0.1	3.6
13012	2/3/2021 14:00	15	14	5	2	2
12488	2/3/2021 14:00	24	16		2	
13251	26/2/2021 3:00 PM	1	1	50	12	1
12976	2/3/2021 14:00	54	32	8	3	7
13250	2/3/2021 14:00	15	4	2	33	53
5507	2/3/2021 13:00	19	11			
11778	2/3/2021 13:00	6	6	12	6	14
12958	2/3/2021 11:00	26	20	3	3	4
