Station ID,Date,PM2.5,PM10,NO2,CO,SO2
13018,2/17/2021,49,28,9,5,
13019,2/17/2021,45,33,31,8,
13026,2/17/2021,78,49,20,6,1
1584,2/17/2021,,,1,1,6
1585,2/17/2021,,,2,2,4
13017,2/17/2021,83,66,17,14,
13020,2/17/2021,44,28,8,6,
13013,2/17/2021,81,65,23,16,
13014,2/17/2021,49,31,,8,
13252,2/17/2021,36,51,,,
8767,2/18/2021,93,,,,
8688,2/18/2021,,,,,
8641,2/18/2021,154,,4.6,0.1,6.1
13012,2/18/2021,33,27,1,1,1
12488,2/18/2021,39,64,,1,
13251,2/18/2021,112,77,31,7,2
12976,2/18/2021,83,51,8,3,4
13250,2/18/2021,192,87,2,32,44
5507,2/18/2021,24,19,,,
11778,2/18/2021,5,4,4,5,22
12958,2/18/2021,101,56,14,5,15
12957,2/18/2021,,,9,3,8
13015,2/18/2021,116,79,30,38,
13018,2/18/2021,95,51,12,9,
13019,2/18/2021,98,62,22,5,
13026,2/18/2021,101,59,14,5,1
1584,2/18/2021,,,1,4,6
1585,2/18/2021,,,3,2,4
13017,2/18/2021,114,77,20,13,
13020,2/18/2021,84,51,8,6,
13013,2/18/2021,124,86,23,20,
13014,2/18/2021,105,57,,7,
13252,2/18/2021,78,81,,,
8767,2/20/2021,80,,,,
8688,2/20/2021,,,,,
8641,2/20/2021,165,,5.1,0.1,5.6
13012,2/19/2021,27,21,2,1,1
12488,2/20/2021,41,70,,2,
13251,2/20/2021,116,61,73,16,2
12976,2/20/2021,121,66,8,3,4
13250,2/20/2021,167,72,6,30,12
5507,2/20/2021,31,17,,,
11778,2/20/2021,8,6,12,6,19.2
12958,2/20/2021,102,63,6,2,4
12957,2/20/2021,,,15,3,3
13015,2/20/2021,120,69,73,55,
13018,2/20/2021,110,61,39,7,
13019,2/20/2021,126,73,33,9,
13026,2/20/2021,100,62,21,3,1
1584,2/20/2021,,,1,6,6
1585,2/20/2021,,,4,2,4
13017,2/20/2021,127,71,18,11,
13020,2/20/2021,113,63,15,9,
13013,2/20/2021,117,64,13,11,
13014,2/20/2021,115,61,,7,
13252,2/20/2021,194,177,,,
8767,2/22/2021,76,,,,
8688,2/22/2021,,,,,
8641,2/22/2021,152,,5.1,0.1,4.1
13012,2/19/2021,31,25,1,1,2
12488,2/22/2021,29,55,,2,
13251,2/22/2021,127,70,38,10,1
12976,2/22/2021,85,63,11,2,4
13250,2/22/2021,175,65,6,31,85
5507,2/22/2021,17,9,,,
11778,2/22/2021,4,3,7,5,21.8
12958,2/22/2021,60,50,4,2,3
12957,2/22/2021,75,50,7,4,1
13015,2/22/2021,153,78,53,48,
13018,2/22/2021,99,56,39,4,
13019,2/22/2021,95,58,19,5,
13026,2/22/2021,104,1,20,3,1
1584,2/22/2021,,,1,11,7
1585,2/22/2021,,,1,2,4
13017,2/22/2021,138,73,9,6,
13020,2/22/2021,90,53,5,4,
13013,2/22/2021,133,69,24,7,
13014,2/22/2021,99,59,,6,
13252,2/22/2021,119,89,,,
8767,2/23/2021,155,,,,
8688,2/23/2021,,,,,
8641,2/23/2021,124,,4.6,0.2,3.6
13012,2/19/2021,31,25,1,1,2
12488,2/23/2021,40,24,,2,
13251,2/23/2021,113,66,32,5,1
12976,2/23/2021,59,51,13,2,4
13250,2/23/2021,40,13,6,29,78
5507,2/23/2021,16,12,,,
11778,2/23/2021,5,3,32,5,24.8
12958,2/23/2021,61,42,3,1,3
12957,2/23/2021,60,39,1,4,1
13015,2/23/2021,116,78,42,32,
13018,2/23/2021,82,45,39,4,
13019,2/23/2021,83,54,21,4,
13026,2/23/2021,59,1,17,4,1
1584,2/23/2021,,,1,6,6
1585,2/23/2021,,,1,1,4
13017,2/23/2021,118,83,13,15,
13020,2/23/2021,82,51,12,4,
13013,2/23/2021,117,78,11,9,
13014,2/23/2021,87,57,,5,
13252,2/23/2021,98,86,,,
8767,2/24/2021,87,,,,
8688,2/24/2021,,,,,
8641,2/24/2021,119,,1,0.1,3.6
13012,2/24/2021,52,38,12,4,2
12488,2/24/2021,26,50,,3,
13251,2/24/2021,100,71,30,10,1
12976,2/24/2021,50,47,11,2,4
13250,2/24/2021,81,30,6,30,23
5507,2/24/2021,16,9,,,
11778,2/24/2021,2,2,3,4,25
12958,2/24/2021,57,42,4,1,4
12957,2/24/2021,50,35,1,4,1
13015,2/24/2021,92,52,37,30,
13018,2/24/2021,82,47,39,3,
13019,2/24/2021,75,52,21,4,
13026,2/23/2021,95,1,27,9,1
1584,2/24/2021,,,1,2,7
1585,2/24/2021,,,1,1,4
13017,2/24/2021,102,60,10,6,
13020,2/24/2021,86,52,9,4,
13013,2/24/2021,113,63,23,4,
13014,2/24/2021,94,55,,5,
13252,2/24/2021,113,122,,,
8767,2/27/2021,104,,,,
8688,2/27/2021,,,,,
8641,2/27/2021,93,,1.4,0.2,3.6
13012,2/27/2021,97,57,21,6,2
12488,2/27/2021,48,59,,2,
13251,2/26/2021,1,1,50,12,1
12976,2/27/2021,44,27,14,3,3
13250,2/27/2021,31,7,,43,100
5507,2/27/2021,26,14,,,
11778,2/27/2021,3,2,12,6,4
12958,2/27/2021,70,52,4,3,4
12957,2/27/2021,60,40,5,4,2
13015,2/27/2021,79,48,29,12,
13018,2/27/2021,88,51,40,5,
13019,2/27/2021,65,47,20,7,
13026,2/25/2021,1,54,59,2,1
1584,2/27/2021,,,1,4,6
1585,2/27/2021,,,1,1,4
13017,2/27/2021,97,62,9,10,
13020,2/27/2021,74,49,10,6,
13013,2/27/2021,112,59,16,5,
13014,2/27/2021,72,48,,6,
13252,2/27/2021,90,198,,,
