City,Date time,PM2.5,PM10,NO2,CO,SO2
Hà Nội,2/3/2021 20:00,82,52,9,4,
Hà Nội,2/3/2021 20:00,83,56,27,6,
Hà Nội,2/3/2021 20:00,103,60,14,2,1
Đà Nẵng,2/3/2021 21:00,,,1,13,6
Nha Trang,2/3/2021 21:00,,,2,1,3
Hà Nội,2/3/2021 20:00,98,74,25,14,
Hà Nội,2/3/2021 20:00,75,56,7,5,
Hà Nội,2/3/2021 20:00,102,76,27,20,
Hà Nội,2/3/2021 20:00,74,53,,5,
Cao Bằng,2/2/2021 17:00,53,83,,,1
Hồ Chí Minh ,2/5/2021 14:00,137,,,,
Hà Nội,2/5/2021 14:00,,,,,
Hà Nội,2/5/2021 13:00,124,0,19.2,0.1,4.6
Gia Lai,2/5/2021 14:00,14,12,5,2,1
Thừa Thiên Huế,2/5/2021 14:00,38,90,,3,
Hà Nội,2/5/2021 13:00,114,81,18,9,1
Bắc Ninh,2/5/2021 14:00,50,40,9,2,3
Lào Cai,2/5/2021 14:00,54,14,4,31,59
Hạ Long,2/5/2021 13:00,31,22,,,
Quảng Ninh,2/5/2021 13:00,8,5,14,4,99
Bắc Ninh,2/5/2021 14:00,96,58,4,2,4
Bắc Ninh,2/5/2021 14:00,,,2,2,2
Hà Nội,2/5/2021 13:00,123,82,25,18,
Hà Nội,2/5/2021 13:00,82,51,15,4,
Hà Nội,2/5/2021 13:00,89,60,23,5,
Hà Nội,2/5/2021 13:00,104,68,14,1,1
Đà Nẵng,2/5/2021 14:00,,,1,8,6
Nha Trang,2/5/2021 14:00,,,4,2,3
Hà Nội,2/5/2021 13:00,112,69,14,13,
Hà Nội,2/5/2021 13:00,78,52,8,4,
Hà Nội,2/5/2021 13:00,116,80,17,15,
Hà Nội,2/5/2021 13:00,94,58,,6,
Cao Bằng,2/5/2021 14:00,90,99,,,1
Hồ Chí Minh ,2/6/2021 17:00,91,,,,
Hà Nội,2/6/2021 18:00,,,,,
Hà Nội,2/6/2021 11:00,139,0,20.6,0.2,5.1
Gia Lai,2/6/2021 18:00,25,25,4,2,1
Thừa Thiên Huế,2/6/2021 18:00,39,69,,2,
Hà Nội,2/6/2021 17:00,85,60,14,7,2
Bắc Ninh,2/6/2021 18:00,75,77,12,4,2
Lào Cai,2/6/2021 18:00,45,8,2,32,41
Hạ Long,2/6/2021 14:00,22,13,,,
Quảng Ninh,2/6/2021 17:00,5,4,10,4,99
Bắc Ninh,2/6/2021 18:00,149,84,6,3,4
Bắc Ninh,2/6/2021 18:00,,,6,3,2
Hà Nội,2/6/2021 17:00,85,67,34,35,
Hà Nội,2/6/2021 17:00,61,47,8,4,
Hà Nội,2/6/2021 17:00,64,51,30,9,
Hà Nội,2/6/2021 17:00,73,62,23,2,1
Đà Nẵng,2/6/2021 17:00,,,1,14,6
Nha Trang,2/6/2021 17:00,,,2,3,4
Hà Nội,2/6/2021 17:00,85,67,19,11,
Hà Nội,2/6/2021 17:00,55,40,7,6,
Hà Nội,2/6/2021 17:00,85,68,23,18,
Hà Nội,2/6/2021 17:00,59,43,,6,
Cao Bằng,2/6/2021 18:00,162,121,,,1
Hồ Chí Minh ,2/9/2021 15:00,102,,,,
Hà Nội,2/9/2021 15:00,,,,,
Hà Nội,2/9/2021 15:00,70,0,9.6,0.1,3.6
Gia Lai,2/9/2021 15:00,24,21,12,6,1
Thừa Thiên Huế,2/9/2021 15:00,16,12,,1,
Hà Nội,2/9/2021 14:00,46,43,25,8,1
Bắc Ninh,2/9/2021 15:00,17,9,9,3,2
Lào Cai,2/9/2021 15:00,91,45,2,44,70
Hạ Long,2/6/2021 15:00,22,13,,,
Quảng Ninh,2/9/2021 14:00,1,1,5,6,3.8
Bắc Ninh,2/9/2021 15:00,14,8,1,3,1
Bắc Ninh,2/9/2021 15:00,,,3,4,1
Hà Nội,2/9/2021 14:00,46,44,13,10,
Hà Nội,2/9/2021 14:00,32,21,9,5,
Hà Nội,2/9/2021 14:00,38,26,12,5,
Hà Nội,2/9/2021 14:00,40,29,15,4,1
Đà Nẵng,2/9/2021 15:00,,,1,5,6
Nha Trang,2/9/2021 15:00,,,1,1,4
Hà Nội,2/9/2021 14:00,43,41,8,6,
Hà Nội,2/9/2021 14:00,34,28,7,5,
Hà Nội,2/9/2021 14:00,46,44,12,7,
Hà Nội,2/9/2021 14:00,42,28,,5,
Cao Bằng,2/9/2021 15:00,30,21,,,
Hồ Chí Minh ,2/14/2021 20:00,63,,,,
Hà Nội,2/14/2021 21:00,0,0,,13,0
Hà Nội,2/14/2021 20:00,167,0,11.9,0.1,4.6
Gia Lai,2/11/2021 16:00,21,15,7,3,1
Thừa Thiên Huế,2/14/2021 21:00,59,51,,1,
Hà Nội,2/14/2021 18:00,94,67,21,7,2
Bắc Ninh,2/14/2021 20:00,86,49,7,3,2
Lào Cai,2/14/2021 21:00,112,44,1,34,20
Hạ Long,2/14/2021 20:00,36,19,,,
Quảng Ninh,2/14/2021 20:00,8,5,8,6,99.7
Bắc Ninh,2/14/2021 21:00,77,48,4,3,3
Bắc Ninh,2/14/2021 21:00,,,3,4,2
Hà Nội,2/14/2021 18:00,91,60,21,14,
Hà Nội,2/14/2021 18:00,53,29,8,4,
Hà Nội,2/14/2021 18:00,42,34,19,4,
Hà Nội,2/14/2021 18:00,93,53,27,20,2
Đà Nẵng,2/14/2021 20:00,,,1,6,6
Nha Trang,2/14/2021 21:00,,,12,6,4
Hà Nội,2/14/2021 18:00,79,57,12,8,
Hà Nội,2/14/2021 18:00,50,30,6,5,
Hà Nội,2/14/2021 18:00,94,63,16,6,
Hà Nội,2/14/2021 18:00,48,37,,5,
Cao Bằng,2/14/2021 21:00,139,124,,,
Hồ Chí Minh ,2/15/2021 14:00,74,,,,
Hà Nội,2/15/2021 14:00,,,,,
Hà Nội,2/15/2021 14:00,144,,14.2,0.1,4.6
Gia Lai,2/11/2021 16:00,21,15,7,3,1
Thừa Thiên Huế,2/15/2021 14:00,28,42,,1,
Hà Nội,2/15/2021 12:00,105,73,26,7,2
Bắc Ninh,2/15/2021 14:00,47,28,4,2,2
Lào Cai,2/15/2021 14:00,148,52,3,41,59
Hạ Long,2/15/2021 13:00,23,12,,,
Quảng Ninh,2/15/2021 13:00,6,4,3,5,9
Bắc Ninh,2/15/2021 14:00,57,34,2,2,3
Bắc Ninh,2/15/2021 14:00,,,1,4,1
Hà Nội,2/15/2021 12:00,131,93,30,27,
Hà Nội,2/15/2021 12:00,87,54,8,4,
Hà Nội,2/15/2021 12:00,98,64,26,4,
Hà Nội,2/15/2021 12:00,96,60,29,5,1
Đà Nẵng,2/15/2021 14:00,,,1,2,6
Nha Trang,2/15/2021 14:00,,,1,2,4
Hà Nội,2/15/2021 12:00,111,76,17,13,
Hà Nội,2/15/2021 12:00,94,54,10,5,
Hà Nội,2/15/2021 12:00,121,85,22,16,
Hà Nội,2/15/2021 12:00,101,57,,6,
Cao Bằng,2/15/2021 14:00,85,67,,,
Hồ Chí Minh ,2/16/2021 13:00,97,,,,
Hà Nội,2/16/2021 14:00,,,,,
Hà Nội,2/16/2021 13:00,153,,12.4,0.1,4.6
Gia Lai,2/16/2021 14:00,35,24,5,2,1
Thừa Thiên Huế,2/16/2021 14:00,39,53,,1,
Hà Nội,2/16/2021 12:00,56,53,20,5,1
Bắc Ninh,2/16/2021 14:00,63,38,6,2,3
Lào Cai,2/16/2021 14:00,119,32,3,39,76
Hạ Long,2/16/2021 13:00,26,14,,,
Quảng Ninh,2/16/2021 13:00,5,4,3,4,14
Bắc Ninh,2/16/2021 14:00,75,49,7,3,5
Bắc Ninh,2/16/2021 14:00,,,2,3,1
Hà Nội,2/16/2021 12:00,113,79,21,33,
Hà Nội,2/16/2021 12:00,88,59,9,3,
Hà Nội,2/16/2021 12:00,74,50,17,5,
Hà Nội,2/16/2021 12:00,97,56,33,3,1
Đà Nẵng,2/16/2021 13:00,,,1,2,6
Nha Trang,2/16/2021 14:00,,,1,1,4
Hà Nội,2/16/2021 12:00,109,75,21,12,
Hà Nội,2/16/2021 12:00,98,63,6,5,
Hà Nội,2/16/2021 12:00,111,69,25,2,
Hà Nội,2/16/2021 12:00,91,53,,5,
Cao Bằng,2/16/2021 14:00,70,58,,,
Hồ Chí Minh ,2/17/2021 12:00,74,,,,
Hà Nội,2/17/2021 12:00,,,,,
