City,Date time,PM2.5,PM10,NO2,CO,SO2
Hồ Chí Minh ,6/28/2021 13:00,55,,,,
Hà Nội,6/28/2021 13:00,37,,,,
Hà Nội,6/28/2021 13:00,38,,5.1,0.1,4.1
Gia Lai,6/28/2021 13:00,22,22,3,2,13
Thừa Thiên Huế,6/28/2021 13:00,,,,2,
Hà Nội,2/26/2021 15:00,1,1,50,12,1
Bắc Ninh,6/28/2021 13:00,16,22,6,1,9
Lào Cai,6/28/2021 13:00,,,1,36,53
Hạ Long,6/28/2021 13:00,,,,,
Quảng Ninh,6/28/2021 11:00,19,33,5,11,2
Bắc Ninh,6/28/2021 13:00,29,36,4,1,3
Bắc Ninh,6/28/2021 13:00,25,30,2,6,3
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,4/27/2021 16:00,36,23,6,4,
Hà Nội,4/27/2021 16:00,60,45,28,13,
Hà Nội,4/12/2021 5:00,1,1,27,6,1
Đà Nẵng,6/28/2021 13:00,14,15,11,1,32
Nha Trang,6/27/2021 15:00,,,5,3,5
Hà Nội,4/27/2021 16:00,41,37,18,17,
Hà Nội,4/27/2021 16:00,32,27,7,3,
Hà Nội,4/27/2021 16:00,74,63,19,12,
Hà Nội,5/5/2021 14:00,18,12,,5,
Cao Bằng,6/28/2021 13:00,75,89,1,,2
Hồ Chí Minh ,6/29/2021 8:00,55,,,,
Hà Nội,6/29/2021 8:00,38,,,,
Hà Nội,6/29/2021 8:00,61,,5.1,0.2,4.1
Gia Lai,6/29/2021 8:00,18,19,8,3,14
Thừa Thiên Huế,6/29/2021 8:00,,,,5,
Hà Nội,2/26/2021 15:00,1,1,50,12,1
Bắc Ninh,6/28/2021 22:00,67,53,12,5,9
Lào Cai,6/28/2021 19:00,,,2,36,53
Hạ Long,6/29/2021 8:00,,,,,
Quảng Ninh,6/29/2021 6:00,24,35,9,13,2
Bắc Ninh,6/29/2021 8:00,48,60,10,1,1
Bắc Ninh,6/29/2021 8:00,30,37,10,6,3
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,4/27/2021 16:00,36,23,6,4,
Hà Nội,4/27/2021 16:00,60,45,28,13,
Hà Nội,4/12/2021 5:00,1,1,27,6,1
Đà Nẵng,6/29/2021 8:00,26,32,11,10,41
Nha Trang,6/27/2021 15:00,,,5,3,5
Hà Nội,4/27/2021 16:00,41,37,18,17,
Hà Nội,4/27/2021 16:00,32,27,7,3,
Hà Nội,4/27/2021 16:00,74,63,19,12,
Hà Nội,5/5/2021 14:00,18,12,,5,
Cao Bằng,6/29/2021 8:00,50,54,1,,2
Hồ Chí Minh ,7/5/2021 15:00,30,,,,
Hà Nội,7/5/2021 16:00,36,,,,
Hà Nội,7/5/2021 16:00,53,,5.1,0.2,4.1
Gia Lai,7/5/2021 16:00,15,16,8,3,14
Thừa Thiên Huế,7/5/2021 16:00,,,,3,
Hà Nội,2/26/2021 15:00,1,1,50,12,1
Bắc Ninh,6/28/2021 22:00,67,53,12,5,9
Lào Cai,7/5/2021 16:00,,,1,37,53
Hạ Long,7/5/2021 16:00,,,16,,
Quảng Ninh,7/5/2021 15:00,10,15,5,15,2
Bắc Ninh,7/5/2021 16:00,38,52,4,1,2
Bắc Ninh,7/5/2021 16:00,23,20,1,6,3
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,4/27/2021 16:00,36,23,6,4,
Hà Nội,4/27/2021 16:00,60,45,28,13,
Hà Nội,4/12/2021 5:00,1,1,27,6,1
Đà Nẵng,7/5/2021 16:00,33,26,11,5,28
Nha Trang,7/5/2021 15:00,,,3,2,5
Hà Nội,4/27/2021 16:00,41,37,18,17,
Hà Nội,4/27/2021 16:00,32,27,7,3,
Hà Nội,4/27/2021 16:00,74,63,19,12,
Hà Nội,5/5/2021 14:00,18,12,,5,
Cao Bằng,7/5/2021 16:00,61,64,,,1
Hồ Chí Minh ,7/6/2021 8:00,76,,,,
Hà Nội,7/6/2021 9:00,63,,,,
Hà Nội,7/6/2021 9:00,55,,5.1,0.2,4.6
Gia Lai,7/6/2021 9:00,12,14,6,2,15
Thừa Thiên Huế,7/6/2021 9:00,,,,7,
Hà Nội,2/26/2021 15:00,1,1,50,12,1
Bắc Ninh,6/28/2021 22:00,67,53,12,5,9
Lào Cai,7/6/2021 9:00,,,1,59,53
Hạ Long,7/6/2021 9:00,,,13,,
Quảng Ninh,7/6/2021 7:00,24,37,8,1,2
Bắc Ninh,7/6/2021 9:00,59,66,14,2,5
Bắc Ninh,7/6/2021 9:00,59,51,10,7,3
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,4/27/2021 16:00,36,23,6,4,
Hà Nội,4/27/2021 16:00,60,45,28,13,
Hà Nội,4/12/2021 5:00,1,1,27,6,1
Đà Nẵng,7/6/2021 9:00,35,23,10,2,28
Nha Trang,7/6/2021 8:00,,,11,8,6
Hà Nội,4/27/2021 16:00,41,37,18,17,
Hà Nội,4/27/2021 16:00,32,27,7,3,
Hà Nội,4/27/2021 16:00,74,63,19,12,
Hà Nội,5/5/2021 14:00,18,12,,5,
Cao Bằng,7/6/2021 9:00,90,98,,,1
Hồ Chí Minh ,7/14/2021 10:00,76,,,,
Hà Nội,7/14/2021 10:00,40,,,,
Hà Nội,7/14/2021 10:00,65,,12.8,0.1,5.1
Gia Lai,7/14/2021 11:00,11,10,2,1,14
Thừa Thiên Huế,7/14/2021 11:00,,,,3,
Hà Nội,7/14/2021 9:00,58,61,23,7,5
Bắc Ninh,6/28/2021 22:00,67,53,12,5,9
Lào Cai,7/14/2021 11:00,,,2,39,53
Hạ Long,7/14/2021 11:00,,,8,,
Quảng Ninh,7/12/2021 5:00,14,16,7,1,2
Bắc Ninh,7/14/2021 10:00,33,50,3,1,15
Bắc Ninh,7/14/2021 11:00,38,30,1,7,3
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,7/14/2021 9:00,17,12,6,2,
Hà Nội,7/14/2021 9:00,24,21,20,5,
Hà Nội,7/14/2021 9:00,42,41,8,3,1
Đà Nẵng,7/14/2021 11:00,40,31,11,4,33
Nha Trang,7/14/2021 10:00,,,1,1,5
Hà Nội,7/14/2021 9:00,57,44,10,6,
Hà Nội,7/14/2021 9:00,27,20,5,1,
Hà Nội,7/14/2021 9:00,54,42,18,8,
Hà Nội,7/14/2021 9:00,31,24,,5,
Cao Bằng,7/14/2021 11:00,60,85,1,,1
Hồ Chí Minh ,7/23/2021 7:00,46,,,,
Hà Nội,7/23/2021 8:00,38,,,,
Hà Nội,7/23/2021 7:00,53,,6.4,0.1,4.6
Gia Lai,7/23/2021 1:00,10,10,2,1,15
Thừa Thiên Huế,7/23/2021 8:00,,,,9,
Hà Nội,7/22/2021 20:00,60,56,,17,
Bắc Ninh,6/28/2021 22:00,67,53,12,5,9
Lào Cai,7/23/2021 1:00,22,22,2,49,53
Hạ Long,7/23/2021 8:00,,,17,,
Quảng Ninh,7/23/2021 7:00,11,11,11,1,1
Bắc Ninh,7/23/2021 7:00,25,15,4,1,3
Bắc Ninh,7/23/2021 8:00,34,24,5,5,3
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,7/22/2021 20:00,50,42,13,3,
Hà Nội,7/22/2021 20:00,41,28,25,14,
Hà Nội,7/22/2021 20:00,73,48,15,9,
Đà Nẵng,7/23/2021 7:00,27,29,11,7,32
Nha Trang,7/23/2021 7:00,,,2,6,6
Hà Nội,7/22/2021 20:00,102,59,16,12,
Hà Nội,7/22/2021 20:00,41,28,10,4,
Hà Nội,7/22/2021 20:00,91,58,18,7,
Hà Nội,7/22/2021 20:00,40,29,,11,
Cao Bằng,7/23/2021 8:00,43,48,1,,1
Hồ Chí Minh ,7/25/2021 9:00,21,,,,
Hà Nội,7/25/2021 9:00,52,,,,
Hà Nội,7/25/2021 9:00,95,,7.8,0.1,4.6
Gia Lai,7/25/2021 9:00,5,5,2,1,15
Thừa Thiên Huế,7/25/2021 9:00,,,,8,
Hà Nội,7/25/2021 8:00,74,58,,8,
Bắc Ninh,6/28/2021 22:00,67,53,12,5,9
Lào Cai,7/25/2021 9:00,22,1,1,38,53
Hạ Long,7/25/2021 9:00,,,13,,
Quảng Ninh,7/25/2021 8:00,23,25,17,1,1
Bắc Ninh,7/25/2021 9:00,97,59,5,3,3
Bắc Ninh,7/25/2021 9:00,103,77,6,6,3
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,7/25/2021 8:00,43,37,7,2,
Hà Nội,7/25/2021 8:00,50,35,17,4,
Hà Nội,7/25/2021 8:00,40,56,7,3,
Đà Nẵng,7/25/2021 9:00,16,42,11,2,36
Nha Trang,7/25/2021 9:00,,,4,4,6
Hà Nội,7/25/2021 8:00,78,69,10,7,
Hà Nội,7/25/2021 8:00,53,36,13,3,
Hà Nội,7/25/2021 8:00,83,60,11,4,
Hà Nội,7/25/2021 8:00,69,44,,5,
Cao Bằng,7/25/2021 9:00,90,76,1,,1
Hồ Chí Minh ,7/28/2021 15:00,76,,,,
Hà Nội,7/28/2021 15:00,36,,,,
Hà Nội,7/28/2021 15:00,53,,4.6,0.1,4.6
Gia Lai,7/28/2021 15:00,8,8,2,2,14
Thừa Thiên Huế,7/28/2021 15:00,,,,3,
Hà Nội,7/28/2021 14:00,32,37,,2,
Bắc Ninh,6/28/2021 22:00,67,53,12,5,9
Lào Cai,7/28/2021 15:00,22,1,1,43,53
Hạ Long,7/28/2021 15:00,,,25,,
Quảng Ninh,7/27/2021 16:00,26,31,14,1,1
Bắc Ninh,7/28/2021 15:00,68,49,4,2,16
Bắc Ninh,7/28/2021 15:00,38,29,1,5,3
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,7/28/2021 14:00,18,10,5,1,
Hà Nội,7/28/2021 14:00,12,9,13,3,
Hà Nội,7/28/2021 14:00,46,34,3,1,
Đà Nẵng,7/28/2021 15:00,18,20,11,1,34
Nha Trang,7/28/2021 15:00,,,1,1,5
Hà Nội,7/28/2021 14:00,43,36,9,5,
Hà Nội,7/28/2021 14:00,12,9,4,1,
Hà Nội,7/28/2021 14:00,47,36,11,4,
Hà Nội,7/28/2021 14:00,18,12,,4,
Cao Bằng,7/28/2021 15:00,41,58,1,,14
Hồ Chí Minh ,7/31/2021 9:00,25,,,,
Hà Nội,7/30/2021 18:00,42,,,,
Hà Nội,7/31/2021 9:00,102,,9.6,0.1,5.1
Gia Lai,7/31/2021 9:00,6,5,3,2,16
Thừa Thiên Huế,7/29/2021 10:00,,,,6,
Hà Nội,7/31/2021 9:00,65,56,,3,
Bắc Ninh,6/28/2021 22:00,67,53,12,5,9
Lào Cai,7/31/2021 10:00,188,158,1,52,55
Hạ Long,7/31/2021 9:00,,,15,,
Quảng Ninh,7/31/2021 8:00,18,23,6,1,2
Bắc Ninh,7/31/2021 9:00,60,58,16,3,13
Bắc Ninh,7/31/2021 9:00,42,36,7,7,3
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,7/31/2021 8:00,51,37,11,2,
Hà Nội,7/31/2021 8:00,60,46,26,5,
Hà Nội,7/31/2021 9:00,55,48,10,3,
Đà Nẵng,7/31/2021 9:00,24,22,11,2,41
Nha Trang,7/31/2021 9:00,,,5,2,5
Hà Nội,7/31/2021 8:00,59,60,18,6,
Hà Nội,7/31/2021 8:00,63,43,13,5,
Hà Nội,7/31/2021 8:00,68,58,17,3,
Hà Nội,2021-07-31T08:00:00+07:00,65,46,,5,
Cao Bằng,7/31/2021 10:00,134,108,1,,1
Hồ Chí Minh ,8/2/2021 8:00,59,,,,
Hà Nội,8/2/2021 8:00,49,,,,
Hà Nội,8/2/2021 8:00,72,,7.8,0.1,4.6
Gia Lai,8/2/2021 8:00,15,11,3,2,16
Thừa Thiên Huế,7/29/2021 10:00,,,,6,
Hà Nội,8/2/2021 7:00,40,50,,3,
Bắc Ninh,6/28/2021 22:00,67,53,12,5,9
Lào Cai,8/1/2021 0:00,8,8,1,62,54
Hạ Long,8/2/2021 8:00,,,16,,
Quảng Ninh,8/2/2021 7:00,33,33,13,1,3
Bắc Ninh,8/2/2021 8:00,53,45,17,3,9
Bắc Ninh,8/2/2021 8:00,70,57,11,8,4
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,8/2/2021 6:00,47,34,7,1,
Hà Nội,8/2/2021 6:00,28,21,14,4,
Hà Nội,8/2/2021 7:00,45,35,5,2,
Đà Nẵng,8/2/2021 8:00,27,26,11,3,38
Nha Trang,8/2/2021 8:00,,,4,2,6
Hà Nội,8/2/2021 6:00,52,60,7,5,
Hà Nội,8/2/2021 6:00,47,30,11,3,
Hà Nội,8/2/2021 6:00,57,53,11,4,
Hà Nội,8/2/2021 6:00,43,29,,4,
Cao Bằng,8/2/2021 8:00,52,62,1,,1
Hồ Chí Minh ,8/3/2021 8:00,53,,,,
Hà Nội,8/2/2021 12:00,42,,,,
Hà Nội,8/3/2021 8:00,99,,10.1,0.1,5.1
Gia Lai,8/3/2021 8:00,15,12,2,2,16
Thừa Thiên Huế,8/3/2021 8:00,,,,11,
Hà Nội,8/3/2021 7:00,68,55,,4,
Bắc Ninh,6/28/2021 22:00,67,53,12,5,9
Lào Cai,8/3/2021 8:00,8,1,1,55,57
Hạ Long,8/3/2021 8:00,,,19,,
Quảng Ninh,8/3/2021 7:00,35,40,18,1,7
Bắc Ninh,8/3/2021 8:00,131,75,13,5,11
Bắc Ninh,8/3/2021 8:00,109,77,10,7,3
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,8/3/2021 6:00,65,54,12,1,
Hà Nội,8/3/2021 6:00,47,34,19,4,
Hà Nội,8/3/2021 7:00,84,55,8,3,
Đà Nẵng,8/3/2021 8:00,30,47,11,4,32
Nha Trang,8/3/2021 8:00,,,4,2,6
Hà Nội,8/3/2021 6:00,91,64,12,5,
Hà Nội,8/3/2021 6:00,78,51,10,2,
Hà Nội,8/3/2021 6:00,93,52,15,4,
Hà Nội,8/3/2021 6:00,66,45,,4,
Cao Bằng,8/3/2021 8:00,8,3,1,,1
Hồ Chí Minh ,8/9/2021 10:00,30,,,,
Hà Nội,8/2/2021 12:00,42,,,,
Hà Nội,8/9/2021 10:00,149,,6,0.1,6.1
Gia Lai,8/9/2021 7:00,16,13,3,2,16
Thừa Thiên Huế,8/9/2021 10:00,,,,6,
Hà Nội,8/9/2021 10:00,79,70,,4,3
Bắc Ninh,6/28/2021 22:00,67,53,12,5,9
Lào Cai,8/9/2021 10:00,2,1,1,43,53
Hạ Long,8/9/2021 10:00,,,18,,
Quảng Ninh,8/9/2021 9:00,25,24,12,1,1
Bắc Ninh,8/9/2021 10:00,73,54,6,2,12
Bắc Ninh,8/9/2021 10:00,125,100,14,9,5
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,8/9/2021 9:00,84,57,9,3,
Hà Nội,8/9/2021 9:00,84,56,20,6,
Hà Nội,8/9/2021 8:00,117,75,7,4,
Đà Nẵng,8/9/2021 10:00,37,31,11,1,38
Nha Trang,8/9/2021 10:00,,,3,2,5
Hà Nội,8/9/2021 9:00,128,82,12,9,
Hà Nội,8/9/2021 9:00,104,60,12,6,
Hà Nội,8/9/2021 9:00,121,83,16,9,
Hà Nội,8/9/2021 9:00,105,61,,6,
Cao Bằng,8/8/2021 10:00,69,76,1,,1
Hồ Chí Minh ,8/10/2021 13:00,65,,,,
Hà Nội,8/2/2021 12:00,42,,,,
Hà Nội,8/10/2021 13:00,65,,6.9,0.1,4.6
Gia Lai,8/9/2021 7:00,16,13,3,2,16
Thừa Thiên Huế,8/10/2021 13:00,,,,2,
Hà Nội,8/10/2021 12:00,30,27,,3,3
Bắc Ninh,6/28/2021 22:00,67,53,12,5,9
Lào Cai,8/10/2021 13:00,2,1,1,38,53
Hạ Long,8/10/2021 13:00,,,17,,
Quảng Ninh,8/10/2021 12:00,9,8,13,1,2
Bắc Ninh,8/10/2021 13:00,29,24,19,1,16
Bắc Ninh,8/10/2021 13:00,30,27,11,8,4
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,8/10/2021 12:00,18,12,8,1,
Hà Nội,8/10/2021 12:00,13,10,20,4,
Hà Nội,8/10/2021 12:00,24,21,8,3,
Đà Nẵng,8/10/2021 13:00,27,27,11,1,31
Nha Trang,8/10/2021 13:00,,,1,1,5
Hà Nội,8/10/2021 12:00,38,41,9,4,
Hà Nội,8/10/2021 12:00,23,15,8,3,
Hà Nội,8/10/2021 12:00,33,37,10,8,
Hà Nội,8/10/2021 12:00,19,13,,4,
Cao Bằng,8/8/2021 10:00,69,76,1,,1
Hồ Chí Minh ,8/11/2021 8:00,53,,,,
Hà Nội,8/11/2021 8:00,50,,,,
Hà Nội,8/11/2021 8:00,53,,9.2,0.2,4.6
Gia Lai,8/11/2021 8:00,16,12,4,3,16
Thừa Thiên Huế,8/11/2021 8:00,,,,10,
Hà Nội,8/11/2021 7:00,18,26,,4,
Bắc Ninh,6/28/2021 22:00,67,53,12,5,9
Lào Cai,8/11/2021 8:00,2,1,1,38,53
Hạ Long,8/11/2021 8:00,,,17,,
Quảng Ninh,8/11/2021 7:00,13,14,11,1,1
Bắc Ninh,8/11/2021 8:00,32,34,18,1,6
Bắc Ninh,8/11/2021 8:00,53,37,6,7,4
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,8/11/2021 7:00,28,23,10,1,
Hà Nội,8/11/2021 7:00,29,21,21,3,
Hà Nội,8/11/2021 7:00,31,22,8,2,
Đà Nẵng,8/11/2021 8:00,32,29,11,3,30
Nha Trang,8/11/2021 8:00,,,1,2,6
Hà Nội,8/11/2021 7:00,50,52,8,3,
Hà Nội,8/11/2021 2:00,1,1,5,3,
Hà Nội,8/11/2021 7:00,56,32,21,3,
Hà Nội,8/11/2021 7:00,42,27,,3,
Cao Bằng,8/8/2021 10:00,69,76,1,,1
Hồ Chí Minh ,8/12/2021 7:00,50,,,,
Hà Nội,8/12/2021 8:00,58,,,,
Hà Nội,8/12/2021 7:00,61,,16.5,0.2,5.1
Gia Lai,8/12/2021 8:00,5,5,5,3,16
Thừa Thiên Huế,8/12/2021 8:00,,,,8,
Hà Nội,8/12/2021 7:00,29,21,,3,
Bắc Ninh,6/28/2021 22:00,67,53,12,5,9
Lào Cai,8/12/2021 8:00,2,1,3,37,53
Hạ Long,8/12/2021 8:00,,,21,,
Quảng Ninh,8/12/2021 6:00,10,11,10,1,1
Bắc Ninh,8/12/2021 8:00,22,25,8,2,6
Bắc Ninh,8/12/2021 8:00,36,31,13,9,4
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,8/12/2021 6:00,38,25,11,4,
Hà Nội,8/12/2021 6:00,30,21,16,3,
Hà Nội,8/12/2021 7:00,20,11,4,2,
Đà Nẵng,8/12/2021 8:00,37,29,10,2,32
Nha Trang,8/12/2021 7:00,,,1,2,6
Hà Nội,8/12/2021 6:00,71,82,6,3,
Hà Nội,8/11/2021 2:00,1,1,5,3,
Hà Nội,8/12/2021 6:00,75,45,20,7,
Hà Nội,8/12/2021 6:00,42,27,,3,
Cao Bằng,8/8/2021 10:00,69,76,1,,1
Hồ Chí Minh ,8/14/2021 8:00,34,,,,
Hà Nội,8/14/2021 8:00,71,,,,
Hà Nội,8/14/2021 8:00,80,,4.6,0.1,4.6
Gia Lai,8/14/2021 8:00,8,9,5,3,16
Thừa Thiên Huế,8/14/2021 8:00,,,,4,
Hà Nội,8/14/2021 7:00,49,51,,5,
Bắc Ninh,6/28/2021 22:00,67,53,12,5,9
Lào Cai,8/14/2021 8:00,2,1,2,41,53
Hạ Long,8/14/2021 8:00,,,8,,
Quảng Ninh,8/14/2021 7:00,14,14,8,1,1
Bắc Ninh,8/14/2021 8:00,47,54,10,1,13
Bắc Ninh,8/14/2021 5:00,27,26,6,6,4
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,8/13/2021 20:00,16,11,7,2,
Hà Nội,8/14/2021 7:00,24,20,19,4,
Hà Nội,8/14/2021 7:00,58,46,7,3,
Đà Nẵng,8/14/2021 8:00,15,14,11,1,30
Nha Trang,8/14/2021 7:00,,,1,1,6
Hà Nội,8/13/2021 20:00,40,35,8,6,
Hà Nội,8/11/2021 2:00,1,1,5,3,
Hà Nội,8/13/2021 20:00,44,45,10,7,
Hà Nội,8/14/2021 7:00,38,27,,5,
Cao Bằng,8/14/2021 8:00,85,89,,,1
Hồ Chí Minh ,8/16/2021 8:00,107,,,,
Hà Nội,8/16/2021 8:00,55,,,,
Hà Nội,8/16/2021 8:00,107,,5.5,0.2,4.6
Gia Lai,8/16/2021 8:00,11,11,3,2,15
Thừa Thiên Huế,8/16/2021 8:00,,,,6,
Hà Nội,8/15/2021 14:00,69,1,,3,
Bắc Ninh,6/28/2021 22:00,67,53,12,5,9
Lào Cai,8/16/2021 8:00,2,1,1,62,52
Hạ Long,8/16/2021 8:00,,,14,,
Quảng Ninh,8/15/2021 8:00,11,12,4,1,1
Bắc Ninh,8/16/2021 8:00,41,58,10,1,13
Bắc Ninh,8/14/2021 5:00,27,26,6,6,4
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,8/16/2021 7:00,56,51,9,2,
Hà Nội,8/16/2021 7:00,25,21,18,5,
Hà Nội,8/16/2021 7:00,39,36,5,2,
Đà Nẵng,8/16/2021 8:00,27,18,11,1,32
Nha Trang,8/16/2021 8:00,,,1,1,6
Hà Nội,8/16/2021 7:00,70,69,9,4,
Hà Nội,8/16/2021 7:00,51,33,7,7,
Hà Nội,8/16/2021 7:00,80,61,26,18,
Hà Nội,8/16/2021 7:00,41,29,,4,
Cao Bằng,8/16/2021 8:00,59,91,,,1
Hồ Chí Minh ,8/17/2021 7:00,91,,,,
Hà Nội,8/17/2021 7:00,63,,,,
Hà Nội,8/17/2021 7:00,95,,6,0.1,5.1
Gia Lai,8/17/2021 7:00,19,14,4,4,16
Thừa Thiên Huế,8/17/2021 7:00,,,,6,
Hà Nội,8/15/2021 14:00,69,1,,3,
Bắc Ninh,6/28/2021 22:00,67,53,12,5,9
Lào Cai,8/17/2021 7:00,,1,1,40,52
Hạ Long,8/17/2021 7:00,,,11,,
Quảng Ninh,8/15/2021 8:00,11,12,4,1,1
Bắc Ninh,8/17/2021 7:00,16,22,6,1,11
Bắc Ninh,8/17/2021 7:00,31,28,7,7,4
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,8/16/2021 20:00,16,10,9,1,
Hà Nội,8/16/2021 20:00,15,12,21,5,
Hà Nội,8/17/2021 6:00,23,19,6,2,
Đà Nẵng,8/17/2021 7:00,23,16,11,1,34
Nha Trang,8/17/2021 7:00,,,1,1,6
Hà Nội,8/16/2021 20:00,52,37,10,5,
Hà Nội,8/16/2021 20:00,27,18,12,7,
Hà Nội,8/16/2021 20:00,46,60,10,10,
Hà Nội,8/16/2021 20:00,19,13,,5,
Cao Bằng,8/17/2021 7:00,46,70,1,,1
Hồ Chí Minh ,8/18/2021 6:00,68,,,,
Hà Nội,8/17/2021 22:00,52,,,,
Hà Nội,8/18/2021 7:00,80,,7.8,0.1,5.6
Gia Lai,8/18/2021 7:00,32,24,5,4,16
Thừa Thiên Huế,8/18/2021 7:00,,,,7,
Hà Nội,8/15/2021 14:00,69,1,,3,
Bắc Ninh,6/28/2021 22:00,67,53,12,5,9
Lào Cai,8/18/2021 7:00,,1,1,38,54
Hạ Long,8/18/2021 7:00,,,11,,
Quảng Ninh,8/18/2021 6:00,12,16,6,1,1
Bắc Ninh,8/18/2021 7:00,25,27,4,2,9
Bắc Ninh,8/18/2021 7:00,31,28,5,7,4
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,8/17/2021 20:00,11,8,10,3,
Hà Nội,8/17/2021 20:00,10,9,18,5,
Hà Nội,8/18/2021 6:00,27,19,7,2,
Đà Nẵng,8/18/2021 7:00,26,16,11,1,32
Nha Trang,8/18/2021 6:00,,,1,1,6
Hà Nội,8/17/2021 20:00,38,39,11,5,
Hà Nội,8/17/2021 20:00,10,8,10,5,
Hà Nội,8/17/2021 20:00,37,33,12,23,
Hà Nội,8/17/2021 20:00,11,9,,5,
Cao Bằng,8/18/2021 7:00,41,70,1,,1
Hồ Chí Minh ,8/19/2021 13:00,76,,,,
Hà Nội,8/17/2021 22:00,52,,,,
Hà Nội,8/19/2021 13:00,55,,6.4,0.1,5.1
Gia Lai,8/19/2021 13:00,14,12,3,2,15
Thừa Thiên Huế,8/19/2021 13:00,,,,1,
Hà Nội,8/15/2021 14:00,69,1,,3,
Bắc Ninh,6/28/2021 22:00,67,53,12,5,9
Lào Cai,8/19/2021 13:00,,1,1,39,53
Hạ Long,8/19/2021 13:00,,,7,,
Quảng Ninh,8/19/2021 12:00,12,13,4,1,12
Bắc Ninh,8/19/2021 13:00,29,27,3,1,13
Bắc Ninh,8/19/2021 13:00,31,28,2,6,4
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,8/19/2021 11:00,19,13,6,2,
Hà Nội,8/19/2021 11:00,10,9,24,4,
Hà Nội,8/19/2021 11:00,20,29,9,2,
Đà Nẵng,8/19/2021 13:00,30,19,11,1,34
Nha Trang,8/19/2021 13:00,,,1,1,5
Hà Nội,8/19/2021 11:00,40,36,12,4,
Hà Nội,8/19/2021 11:00,10,8,8,4,
Hà Nội,8/19/2021 11:00,32,52,30,21,
Hà Nội,8/19/2021 11:00,13,11,,4,
Cao Bằng,8/19/2021 13:00,45,88,1,,1
Hồ Chí Minh ,8/21/2021 7:00,78,,,,
Hà Nội,8/17/2021 22:00,52,,,,
Hà Nội,8/21/2021 8:00,72,,5.5,0.1,4.6
Gia Lai,8/21/2021 8:00,17,13,3,2,16
Thừa Thiên Huế,8/21/2021 8:00,,,,7,
Hà Nội,8/15/2021 14:00,69,1,,3,
Bắc Ninh,6/28/2021 22:00,67,53,12,5,9
Lào Cai,8/21/2021 8:00,,1,1,40,53
Hạ Long,8/21/2021 8:00,,,7,,
Quảng Ninh,8/21/2021 1:00,13,15,4,1,16
Bắc Ninh,8/21/2021 8:00,31,40,7,1,12
Bắc Ninh,8/20/2021 14:00,29,4,5,7,3.6
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,8/21/2021 7:00,42,31,10,1,
Hà Nội,8/21/2021 6:00,26,20,19,4,
Hà Nội,8/21/2021 7:00,50,45,10,2,
Đà Nẵng,8/21/2021 8:00,32,20,11,1,31
Nha Trang,8/20/2021 13:00,,,1,1,6
Hà Nội,8/21/2021 7:00,58,58,13,3,
Hà Nội,8/21/2021 6:00,40,27,13,3,
Hà Nội,8/21/2021 7:00,62,50,26,17,
Hà Nội,8/21/2021 6:00,35,25,,5,
Cao Bằng,8/19/2021 19:00,64,103,1,,1
Hồ Chí Minh ,8/23/2021 8:00,70,,,,
Hà Nội,8/17/2021 22:00,52,,,,
Hà Nội,8/23/2021 8:00,63,,2.8,0.1,4.6
Gia Lai,8/23/2021 8:00,8,10,5,3,16
Thừa Thiên Huế,8/23/2021 8:00,,,,6,
Hà Nội,8/15/2021 14:00,69,1,,3,
Bắc Ninh,6/28/2021 22:00,67,53,12,5,9
Lào Cai,8/23/2021 8:00,2,1,3,39,3.2
Hạ Long,8/23/2021 8:00,,,8,,
Quảng Ninh,8/23/2021 7:00,15,14,4,1,18
Bắc Ninh,8/23/2021 8:00,48,53,8,1,12
Bắc Ninh,8/23/2021 8:00,,,3,7,5
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,8/23/2021 7:00,21,14,9,1,
Hà Nội,8/23/2021 7:00,22,19,14,3,
Hà Nội,8/23/2021 7:00,50,44,10,3,
Đà Nẵng,8/23/2021 8:00,29,20,11,1,31
Nha Trang,8/23/2021 7:00,,,1,1,6
Hà Nội,8/23/2021 7:00,45,52,7,3,
